"Story","Title","Result","Date","Stability","Duration (s)"
"Product CURD test with steps","Creating a new PRODUCT","SUCCESS","2023-06-04T15:53:45.992Z[UTC]","0.0","28.1"
"Product CURD test with steps","Verify that product is added or not","SUCCESS","2023-06-04T15:54:14.135Z[UTC]","0.0","1.8"
"Product CURD test with steps","Updating product information","SUCCESS","2023-06-04T15:54:15.941Z[UTC]","0.0","0.39"
"Product CURD test with steps","Delete product and verifying that product is deleted","SUCCESS","2023-06-04T15:54:16.330Z[UTC]","0.0","0.27"
"Store CURD test with steps","Creating a store","SUCCESS","2023-06-04T15:54:22.190Z[UTC]","0.0","1.31"
"Store CURD test with steps","Verify that store is added or not","SUCCESS","2023-06-04T15:54:23.505Z[UTC]","0.0","0.06"
"Store CURD test with steps","Updating store information","SUCCESS","2023-06-04T15:54:23.563Z[UTC]","0.0","0.43"
"Store CURD test with steps","Deleting store and verifying that store is deleted","SUCCESS","2023-06-04T15:54:23.991Z[UTC]","0.0","0.4"
