"Story","Title","Result","Date","Stability","Duration (s)"
"Store CURD test with steps","Creating a store","SUCCESS","2023-06-04T15:54:22.190Z[UTC]","0.0","1.31"
"Store CURD test with steps","Verify that store is added or not","SUCCESS","2023-06-04T15:54:23.505Z[UTC]","0.0","0.06"
"Store CURD test with steps","Updating store information","SUCCESS","2023-06-04T15:54:23.563Z[UTC]","0.0","0.43"
"Store CURD test with steps","Deleting store and verifying that store is deleted","SUCCESS","2023-06-04T15:54:23.991Z[UTC]","0.0","0.4"
